Quoi	Pt	quoi
présence	Nc	présence
?	Fs	?
Et	Cc	et
puis	Vvc	pouvoir
-je	Vvn	-je
rien	Pi	rien
comprendre	Vvn	comprendre
au	S+Da	à+le
trouble	Nc	trouble
où	Pr	où
je	Pp	je
vous	Pp	vous
vois	Vvc	voir
?	Fs	?
Excusez	Vvc	excuser
-les	Vvn	-les
,	Fw	,
Seigneur	Nc	seigneur
,	Fw	,
la	Da	le
faute	Nc	faute
en	Pp	en
est	Vuc	être
à	S	à
moi	Pp	je
,	Fw	,
Mais	Vvc	mais
mon	Ds	mon
salut	Nc	salut
dépend	Vvc	dépendre
de	S	de
cet	Dd	ce
illustre	Ag	illustre
crime	Nc	crime
;	Fw	;
Ce	Vvc	ce
n'	Rp	ne
est	Vuc	être
plus	Rg	plus
Adrian	Vvc	adrian
,	Fw	,
c'	Pd	ce
est	Vuc	être
Genest	Nc	genêt
qui	Pr	qui
s'	Pp	se
exprime	Vvc	exprimer
;	Fw	;
Ce	Vvc	ce
jeu	Nc	jeu
n'	Rp	ne
est	Vuc	être
plus	Rg	plus
un	Dn	un
jeu	Nc	jeu
,	Fw	,
mais	Cc	mais
une	Dn	un
vérité	Nc	vérité
,	Fw	,
Où	Vvc	où
par	S	par
mon	Ds	mon
action	Nc	action
je	Pp	je
suis	Vuc	être
représenté	Ge	représenter
,	Fw	,
Où	Vvc	où
moi-même	Pp	lui-même
l'	Da	le
objet	Nc	objet
et	Cc	et
l'	Da	le
acteur	Nc	acteur
de	S	de
moi-même	Pp	lui-même
,	Fw	,
Purgé	Vvc	purgé
de	S	de
mes	Ds	mon
forfaits	Nc	forfait
par	S	par
l'	Da	le
eau	Nc	eau
du	S+Da	de+le
saint	Ag	saint
baptême	Nc	baptême
,	Fw	,
Qu'	Vvc	qu'
une	Dn	un
céleste	Ag	céleste
main	Nc	main
m'	Pp	je
a	Vuc	avoir
daigné	Ge	daigner
conférer	Vvn	conférer
,	Fw	,
Je	Vvc	je
professe	Vvc	professer
une	Dn	un
loi	Nc	loi
,	Fw	,
que	Cs	que
je	Pp	je
dois	Vvc	devoir
déclarer	Vvn	déclarer
.	Fs	.
Écoutez	Vvc	écoutez
donc	Rg	donc
,	Fw	,
Césars	Nc	césars
,	Fw	,
et	Cc	et
vous	Pp	vous
troupes	Nc	troupe
romaines	Ag	romain
,	Fw	,
La	Vvc	la
gloire	Nc	gloire
et	Cc	et
la	Da	le
terreur	Nc	terreur
des	S+Da	de+le|de+les
puissances	Nc	puissance
humaines	Ag	humain
,	Fw	,
Mais	Vvc	mais
faibles	Ag	faible
ennemis	Nc	ennemi
d'	S	de
un	Dn	un
pouvoir	Nc	pouvoir
souverain	Ag	souverain
,	Fw	,
Qui	Vvc	qui
foule	Nc	foule
aux	S+Da	à+les
pieds	Nc	pied
l'	Da	le
orgueil	Nc	orgueil
et	Cc	et
le	Da	le
sceptre	Nc	sceptre
romain	Ag	romain
;	Fw	;
Aveuglé	Vvc	aveuglé
de	S	de
l'	Da	le
erreur	Nc	erreur
dont	Pr	dont
l'	Da	le
enfer	Nc	enfer
vous	Pp	vous
infecte	Vvc	infecter
,	Fw	,
Comme	Vvc	comme
vous	Pp	vous
,	Fw	,
des	S+Da	de+le|de+les
chrétiens	Nc	chrétien
j'	Pp	je
ai	Vuc	avoir
détesté	Ge	détester
la	Da	le
secte	Nc	secte
;	Fw	;
Et	Vvc	et
(	Fw	(
si	Cs	si
peu	Rg	peu
que	Cs	que
mon	Ds	mon
art	Nc	art
pouvait	Vvc	pouvoir
exécuter	Vvn	exécuter
)	Fw	)
Tout	Vvc	tout
mon	Ds	mon
heur	Nc	heur
consistait	Vvc	consister
à	S	à
les	Pp	ils
persécuter	Vvn	persécuter
;	Fw	;
Pour	Nc	pour
les	Pp	ils
fuir	Vvn	fuir
,	Fw	,
et	Cc	et
chez	S	chez
vous	Pp	vous
suivre	Vvn	suivre
l'	Da	le
idolâtrie	Nc	idolâtrie
,	Fw	,
J'	Vvc	j'
ai	Vuc	avoir
laissé	Ge	laisser
mes	Ds	mon
parents	Nc	parent
,	Fw	,
j'	Pp	je
ai	Vuc	avoir
quitté	Ge	quitter
ma	Ds	mon
patrie	Nc	patrie
;	Fw	;
Et	Vvc	et
fait	Ge	faire
choix	Nc	choix
à	S	à
dessein	Nc	dessein
d'	S	de
un	Dn	un
art	Nc	art
peu	Rg	peu
glorieux	Ag	glorieux
,	Fw	,
Pour	Nc	pour
mieux	Rg	mieux
les	Da	le
diffamer	Nc	diffamer
,	Fw	,
et	Cc	et
les	Pp	ils
rendre	Vvn	rendre
odieux	Ag	odieux
;	Fw	;
Mais	Vvc	mais
par	S	par
une	Dn	un
bonté	Nc	bonté
qui	Pr	qui
n'	Rp	ne
a	Vuc	avoir
point	Rg	point
de	S	de
pareille	Nc	pareil|pareille
,	Fw	,
Et	Vvc	et
par	S	par
une	Dn	un
incroyable	Ag	incroyable
et	Cc	et
soudaine	Ag	soudain
merveille	Nc	merveille
,	Fw	,
Dont	Vvc	dont
le	Da	le
pouvoir	Nc	pouvoir
d'	S	de
un	Dn	un
dieu	Nc	dieu
,	Fw	,
peut	Vvc	pouvoir
seul	Rg	seul
être	Vun	être
l'	Da	le
auteur	Nc	auteur
,	Fw	,
Je	Vvc	je
deviens	Vvc	devenir
leur	Ds	leur
rival	Nc	rival
de	S	de
leur	Ds	leur
persécuteur	Nc	persécuteur
;	Fw	;
Et	Vvc	et
soumets	Vvc	soumettre
à	S	à
la	Da	le
loi	Nc	loi
que	Pr	que
j'	Pp	je
ai	Vuc	avoir
tant	Rg	tant
réprouvée	Ge	réprouver
,	Fw	,
Une	Vvc	une
âme	Nc	âme
heureusement	Rg	heureusement
de	S	de
tant	Rg	tant
d'	S	de
écueils	Nc	écueil
sauvée	Ge	sauver
;	Fw	;
Au	Vvc	au
milieu	Nc	milieu
de	S	de
l'	Da	le
orage	Nc	orage
,	Fw	,
où	Pr	où
m'	Pp	je
exposait	Vvc	exposer
le	Da	le
sort	Nc	sort
,	Fw	,
Un	Vvc	un
ange	Nc	ange
par	S	par
la	Da	le
main	Nc	main
,	Fw	,
m'	Pp	je
a	Vuc	avoir
conduit	Vvc	conduire
dans	S	dans
le	Da	le
port	Nc	port
;	Fw	;
M'	Vvc	m'
a	Vuc	avoir
fait	Ge	faire
sur	S	sur
un	Dn	un
papier	Nc	papier
voir	Vvn	voir
mes	Ds	mon
fautes	Nc	faute
passées	Ge	passer
,	Fw	,
Par	Nc	par
l'	Da	le
eau	Nc	eau
qu'	Pr	que
il	Pp	il
me	Pp	je
versait	Vvc	verser
,	Fw	,
à	S	à
l'	Da	le
instant	Nc	instant
effacées	Ge	effacer
;	Fw	;
Et	Vvc	et
cette	Dd	ce
salutaire	Ag	salutaire
et	Cc	et
céleste	Ag	céleste
liqueur	Nc	liqueur
,	Fw	,
Loin	Nc	loin
de	S	de
me	Pp	je
refroidir	Vvn	refroidir
,	Fw	,
m'	Pp	je
a	Vuc	avoir
consommé	Ge	consommer
le	Da	le
coeur	Nc	cœur
;	Fw	;
Je	Vvc	je
renonce	Nc	renonce
à	S	à
la	Da	le
haine	Nc	haine
,	Fw	,
et	Cc	et
déteste	Vvc	détester
l'	Da	le
envie	Nc	envie
,	Fw	,
Qui	Vvc	qui
m'	Pp	je
a	Vuc	avoir
fait	Ge	faire
des	S+Da	de+le|de+les
chrétiens	Nc	chrétien
,	Fw	,
persécuter	Vvn	persécuter
la	Da	le
vie	Nc	vie
;	Fw	;
Leur	Vvc	leur
créance	Nc	créance
est	Vuc	être
ma	Ds	mon
foi	Nc	foi
,	Fw	,
leur	Ds	leur
espoir	Nc	espoir
est	Vuc	être
le	Da	le
mien	Ps	mien
,	Fw	,
C'	Vvc	c'
est	Vuc	être
leur	Ds	leur
dieu	Nc	dieu
que	Pr	que
j'	Pp	je
adore	Vvc	adorer
,	Fw	,
enfin	Rg	enfin
je	Pp	je
suis	Vuc	être
chrétien	Ag	chrétien
;	Fw	;
Quelque	Vvc	quelque
effort	Nc	effort
qui	Pr	qui
s'	Pp	se
oppose	Vvc	opposer
,	Fw	,
en	S	en
l'	Da	le
ardeur	Nc	ardeur
qui	Pr	qui
m'	Pp	je
enflamme	Vvc	enflammer
,	Fw	,
Les	Vvc	les
intérêts	Nc	intérêt
du	S+Da	de+le
corps	Nc	corps
,	Fw	,
cèdent	Vvc	céder
à	S	à
ceux	Pd	celui
de	S	de
l'	Da	le
âme	Nc	âme
;	Fw	;
Déployez	Vvc	déployez
vos	Ds	votre
rigueurs	Nc	rigueur
,	Fw	,
brûlez	Vvc	brûler
,	Fw	,
coupez	Vvc	couper
,	Fw	,
tranchez	Vvc	trancher
,	Fw	,
Mes	Vvc	mes
maux	Nc	mal
seront	Vuc	être
encor	Nc	encor
moindres	Ag	moindre
que	Pr	que
mes	Ds	mon
péchés	Nc	péché
;	Fw	;
Je	Vvc	je
sais	Vvc	savoir
de	S	de
quel	Dt	quel
repos	Nc	repos
cette	Dd	ce
peine	Nc	peine
est	Vuc	être
suivie	Ge	suivre
,	Fw	,
Et	Vvc	et
ne	Rp	ne
crains	Vvc	craindre
point	Rg	point
la	Da	le
mort	Nc	mort
,	Fw	,
qui	Pr	qui
conduit	Vvc	conduire
à	S	à
la	Da	le
vie	Nc	vie
;	Fw	;
J'	Vvc	j'
ai	Vuc	avoir
souhaité	Ge	souhaiter
longtemps	Rg	longtemps
d'	S	de
agréer	Vvn	agréer
à	S	à
vos	Ds	votre
yeux	Nc	œil
,	Fw	,
Aujourd'hui	Rg	aujourd'hui
je	Pp	je
veux	Vvc	vouloir
plaire	Vvn	plaire
à	S	à
l'	Da	le
empereur	Nc	empereur
des	S+Da	de+le|de+les
cieux	Nc	ciel|cieux
;	Fw	;
Je	Vvc	je
vous	Pp	vous
ai	Vuc	avoir
divertis	Ge	divertir
,	Fw	,
j'	Pp	je
ai	Vuc	avoir
chanté	Ge	chanter
vos	Ds	votre
louanges	Nc	louange
,	Fw	,
Il	Vvc	il
est	Vuc	être
temps	Nc	temps
maintenant	Rg	maintenant
de	S	de
réjouir	Vvn	réjouir
les	Da	le
anges	Nc	ange
;	Fw	;
Il	Vvc	il
est	Vuc	être
temps	Nc	temps
de	S	de
prétendre	Vvn	prétendre
à	S	à
des	Dn	un
prix	Nc	prix
immortels	Ag	immortel
,	Fw	,
Il	Vvc	il
est	Vuc	être
temps	Nc	temps
de	S	de
passer	Vvn	passer
du	S+Da	de+le
théâtre	Nc	théâtre
aux	S+Da	à+les
autels	Nc	autel
;	Fw	;
Si	Vvc	si
je	Pp	je
l'	Pp	il
ai	Vuc	avoir
mérité	Ge	mériter
,	Fw	,
qu'	Cs	que
on	Pp	on
me	Pp	je
mène	Vvc	mener
au	S+Da	à+le
martyre	Nc	martyr|martyre
;	Fw	;
Mon	Nc	mon
rôle	Nc	rôle
est	Vuc	être
achevé	Ge	achever
,	Fw	,
je	Pp	je
n'	Rp	ne
ai	Vuc	avoir
plus	Rg	plus
rien	Pi	rien
à	S	à
dire	Vvn	dire
.	Fs	.
Ta	Ds	ton
feinte	Nc	feinte
passe	Vvc	passer
enfin	Rg	enfin
pour	S	pour
importunité	Nc	importunité
.	Fs	.
Elle	Pp	il
vous	Pp	vous
doit	Vvc	devoir
passer	Vvn	passer
pour	S	pour
une	Dn	un
vérité	Nc	vérité
?	Fs	?
Parle-t-il	Vvc	parle-t-il
de	S	de
bon	Ag	bon
sens	Nc	sens
?	Fs	?
Croirai	Vvc	croire
-je	Vvn	-je
mes	Ds	mon
oreilles	Nc	oreille
!	Fs	!
Le	Da	le
bras	Nc	bras
qui	Pr	qui
m'	Pp	je
a	Vuc	avoir
touché	Ge	toucher
,	Fw	,
fait	Vvc	faire
bien	Rg	bien
d'	Dn	un
autres	Ag	autre
merveilles	Nc	merveille
.	Fs	.
Quoi	Pt	quoi
,	Fw	,
tu	Pp	tu
renonces	Vvc	renoncer
,	Fw	,
traître	Ag	traître
,	Fw	,
au	S+Da	à+le
culte	Nc	culte
de	S	de
nos	Ds	notre
dieux	Nc	dieu|dieux
!	Fs	!
Et	Cc	et
les	Pp	ils
tiens	Vvc	tenir
aussi	Rg	aussi
faux	Ag	faux
,	Fw	,
qu'	Cs	que
ils	Pp	ils
me	Pp	je
sont	Vuc	être
odieux	Ag	odieux
.	Fs	.
Sept	Nc	sept
d'	S	de
entre	S	entre
eux	Pp	eux
,	Fw	,
ne	Rp	ne
font	Vvc	faire
plus	Rg	plus
que	Cs	que
des	Dn	un
lumières	Nc	lumière
sombres	Ag	sombre
,	Fw	,
Dont	Vvc	dont
la	Da	le
faible	Ag	faible
clarté	Nc	clarté
perce	Vvc	percer
à	S	à
peine	Nc	peine
les	Da	le
ombres	Nc	ombre
;	Fw	;
(	Fw	(
Quoiqu'ils	Nc	quoiqu'ils
trompent	Vvc	tromper
encor	Nc	encor
votre	Ds	votre
crédulité	Nc	crédulité
,	Fw	,
)	Fw	)
Et	Vvc	et
des	S+Da	de+le|de+les
autres	Pi	autre
,	Fw	,
le	Da	le
nom	Nc	nom
à	S	à
peine	Nc	peine
en	Pp	en
est	Vuc	être
resté	Ge	rester
.	Fs	.
Ô	Vvc	ô
blasphème	Nc	blasphème
exécrable	Ag	exécrable
!	Fs	!
Ô	Vvc	ô
sacrilège	Nc	sacrilège
impie	Ag	impie
,	Fw	,
Et	Vvc	et
dont	Pr	dont
nous	Pp	nous
répondrons	Vvc	répondre
,	Fw	,
si	Cs	si
son	Ds	son
sang	Nc	sang
ne	Rp	ne
l'	Pp	il
expie	Vvc	expier
!	Fs	!
Préfet	Nc	préfet
,	Fw	,
prenez	Vvc	prendre
ce	Dd	ce
soin	Nc	soin
,	Fw	,
et	Cc	et
de	S	de
cet	Dd	ce
insolent	Nc	insolent
;	Fw	;
Plancien	Nc	plancien
se	Pp	il
lève	Vvc	lever
.	Fs	.
Fermez	Vvc	fermer
les	Da	le
actions	Nc	action
par	S	par
un	Dn	un
geste	Nc	geste
sanglant	Ag	sanglant
;	Fw	;
Qui	Vvc	qui
des	Dn	un
dieux	Nc	dieu|dieux
irrités	Ge	irriter
satisfasse	Vvc	satisfaire
la	Da	le
haine	Nc	haine
,	Fw	,
Qui	Vvc	qui
vécut	Vvc	vivre
au	S+Da	à+le
théâtre	Nc	théâtre
,	Fw	,
expire	Vvc	expirer
sur	S	sur
la	Da	le
scène	Nc	scène
;	Fw	;
Et	Vvc	et
si	Cs	si
quelque	Di	quelque
autre	Ag	autre
atteint	Vvc	atteindre
du	S+Da	de+le
même	Ag	même
aveuglement	Nc	aveuglement
,	Fw	,
A	Vvc	a
part	Nc	part
à	S	à
son	Ds	son
forfait	Nc	forfait
,	Fw	,
qu'	Cs	que
il	Pp	il
l'	Pp	il
ait	Vuc	avoir
en	S	en
son	Ds	son
tourment	Nc	tourment
.	Fs	.
Si	Cs	si
la	Da	le
pitié	Nc	pitié
,	Fw	,
Seigneur	Nc	seigneur
.	Fs	.
La	Da	le
piété	Nc	piété
plus	Rg	plus
forte	Ag	fort
,	Fw	,
Réprimera	Vvc	réprimera
l'	Da	le
audace	Nc	audace
où	Pr	où
son	Ds	son
erreur	Nc	erreur
l'	Pp	il
emporte	Vvc	emporter
.	Fs	.
Repassant	Ga	repasser
cette	Dd	ce
erreur	Nc	erreur
d'	S	de
un	Dn	un
esprit	Nc	esprit
plus	Rg	plus
remis	Ge	remettre
...	Fs	...
Dioclétian	Vvc	dioclétian
,	Fw	,
sort	Nc	sort
avec	S	avec
toute	Di	tout
la	Da	le
Cour	Nc	cour
.	Fs	.
Acquittez	Vvc	acquitter
-vous	Nc	-vous
du	S+Da	de+le
soin	Nc	soin
que	Pr	que
je	Pp	je
vous	Pp	vous
ai	Vuc	avoir
commis	Ge	commettre
.	Fs	.
Simple	Ag	simple
,	Fw	,
ainsi	Rg	ainsi
de	S	de
César	Nc	césar
tu	Pp	tu
méprises	Vvc	mépriser
la	Da	le
grâce	Nc	grâce
!	Fs	!
J'	Pp	je
acquiers	Vvc	acquérir
celle	Pd	celui
de	S	de
dieu	Nc	dieu
.	Fs	.
Quel	Dt	quel
mystère	Nc	mystère
se	Pp	il
passe	Vvc	passer
?	Fs	?
L'	Da	le
Empereur	Nc	empereur
abandonne	Vvc	abandonner
aux	S+Da	à+les
rigueurs	Nc	rigueur
de	S	de
la	Da	le
loi	Nc	loi
,	Fw	,
Genest	Nc	genêt
,	Fw	,
qui	Pr	qui
des	Dn	un
chrétiens	Nc	chrétien
a	Vuc	avoir
professé	Ge	professer
la	Da	le
foi	Nc	foi
.	Fs	.
Nos	Ds	notre
prières	Nc	prière
,	Fw	,
peut-être	Rg	peut-être
.	Fs	.
Elles	Pp	ils
ont	Vuc	avoir
été	Ge	être
vaines	Ag	vain
!	Fs	!
Gardes	Nc	garde|gardes
?	Fs	?
Seigneur	Nc	seigneur
?	Fs	?
Menez	Vvc	mener
Genest	Nc	genêt
,	Fw	,
chargé	Ge	charger
de	S	de
chaînes	Nc	chaîne
,	Fw	,
Dans	Vvc	dans
le	Da	le
fond	Nc	fond
d'	S	de
un	Dn	un
cachot	Nc	cachot
attendre	Vvn	attendre
son	Ds	son
arrêt	Nc	arrêt
.	Fs	.
On	Pp	on
le	Pp	il
descend	Vvc	descendre
du	S+Da	de+le
théâtre	Nc	théâtre
.	Fs	.
Je	Pp	je
te	Pp	tu
rends	Vvc	rendre
grâce	Nc	grâce
,	Fw	,
ô	I	oh
Ciel	Ag	ciel
!	Fs	!
Allons	Vvc	aller
,	Fw	,
me	Pp	je
voilà	S	voilà
prêt	Ag	prêt
;	Fw	;
Les	Vvc	les
anges	Nc	ange
quelque	Di	quelque
jour	Nc	jour
,	Fw	,
des	S+Da	de+le|de+les
fers	Nc	fer|fers
que	Pr	que
tu	Pp	tu
m'	Pp	je
ordonnes	Vvc	ordonner
,	Fw	,
Dans	Vvc	dans
ce	Dd	ce
palais	Nc	palais
d'	S	de
azur	Nc	azur
,	Fw	,
me	Pp	je
feront	Vvc	faire
des	Dn	un
Couronnes	Nc	couronne
.	Fs	.
Son	Ds	son
audace	Nc	audace
est	Vuc	être
coupable	Ag	coupable
,	Fw	,
autant	Rg	autant
que	Cs	que
son	Ds	son
erreur	Nc	erreur
,	Fw	,
D'	Nc	d'
en	S	en
oser	Vvn	oser
faire	Vvn	faire
gloire	Nc	gloire
,	Fw	,
aux	S+Da	à+les
yeux	Nc	œil
de	S	de
l'	Da	le
Empereur	Nc	empereur
;	Fw	;
Et	Vvc	et
vous	Pp	vous
,	Fw	,
qui	Pr	qui
sous	S	sous
même	Ag	même
art	Nc	art
courrez	Vvc	courir
même	Ag	même
fortune	Nc	fortune
,	Fw	,
Sa	Vvc	sa
foi	Nc	foi
,	Fw	,
comme	Cs	comme
son	Ds	son
art	Nc	art
,	Fw	,
vous	Pp	vous
est-elle	Ag	est-elle
commune	Ag	commun
?	Fs	?
Et	Cc	et
comme	Cs	comme
un	Dn	un
mal	Nc	mal
,	Fw	,
souvent	Rg	souvent
,	Fw	,
devient	Vvc	devenir|dévier
contagieux	Ag	contagieux
?	Fs	?
Le	Pp	il
Ciel	Vvc	ciel
m'	Pp	je
en	S	en
garde	Nc	garde
,	Fw	,
hélas	I	hélas
!	Fs	!
M'	Pp	je
en	Pp	en
préservent	Vvc	préserver
les	Da	le
dieux	Nc	dieu|dieux
!	Fs	!
Que	Cs	que
plutôt	Rg	plutôt
mille	Nc	mille
morts	Ge	mourir
!	Fs	!
Que	Cs	que
plutôt	Rg	plutôt
mille	Nc	mille
flammes	Ag	flammé
!	Fs	!
Que	Pt	que
représentiez	Vvc	représenter
-vous	Nc	-vous
?	Fs	?
Vous	Pp	vous
l'	Pp	il
avez	Vuc	avoir
vu	Ge	voir
;	Fw	;
les	Da	le
femmes	Nc	femme
;	Fw	;
Si	Vvc	si
selon	S	selon
le	Da	le
sujet	Nc	sujet
,	Fw	,
quelque	Di	quelque
déguisement	Nc	déguisement
,	Fw	,
Ne	Vvc	ne
m'	Pp	je
obligeait	Vvc	obliger
parfois	Rg	parfois
au	S+Da	à+le
travestissement	Nc	travestissement
.	Fs	.
Et	Cc	et
vous	Pp	vous
?	Fs	?
Parfois	Rg	parfois
les	Da	le
rois	Nc	roi
,	Fw	,
et	Cc	et
parfois	Rg	parfois
les	Da	le
esclaves	Nc	esclave
.	Fs	.
Vous	Pp	vous
?	Fs	?
Les	Da	le
extravagants	Nc	extravagant
,	Fw	,
les	Da	le
furieux	Ag	furieux
,	Fw	,
les	Da	le
braves	Nc	brave
.	Fs	.
Ce	Dd	ce
vieillard	Nc	vieillard
?	Fs	?
Les	Da	le
docteurs	Nc	docteur
,	Fw	,
sans	S	sans
lettres	Nc	lettre|lettré
ni	Cc	ni
sans	S	sans
lois	Nc	loi
,	Fw	,
Parfois	Vvc	parfois
les	Da	le
confidents	Nc	confident
,	Fw	,
et	Cc	et
les	Da	le
traîtres	Nc	traître
parfois	Rg	parfois
.	Fs	.
Et	Cc	et
toi	Pp	tu
?	Fs	?
Les	Da	le
assistants	Nc	assistant
.	Fs	.
Leur	Ds	leur
franchise	Nc	franchise
ingénue	Ag	ingénu
,	Fw	,
En	Vvc	en
leur	Ds	leur
naïveté	Nc	naïveté
,	Fw	,
se	Pp	il
produit	Vvc	produire
assez	Rg	assez
nue	Ag	nu
;	Fw	;
Je	Vvc	je
plains	Vvc	plaindre
votre	Ds	votre
malheur	Nc	malheur
;	Fw	;
mais	Cc	mais
l'	Da	le
intérêt	Nc	intérêt
des	S+Da	de+le|de+les
dieux	Nc	dieu|dieux
,	Fw	,
À	Nc	à
tout	Di	tout
respect	Nc	respect
humain	Ag	humain
,	Fw	,
nous	Pp	nous
doit	Vvc	devoir
fermer	Vvn	fermer
les	Da	le
yeux	Nc	œil
;	Fw	;
À	Nc	à
des	S+Da	de+le|de+les
crimes	Nc	crime
,	Fw	,
parfois	Rg	parfois
,	Fw	,
la	Da	le
grâce	Nc	grâce
est	Vuc	être
légitime	Ag	légitime
,	Fw	,
Mais	Vvc	mais
à	S	à
ceux	Pd	celui
de	S	de
ce	Dd	ce
genre	Nc	genre
,	Fw	,
elle	Pp	il
serait	Vuc	être
un	Dn	un
crime	Nc	crime
;	Fw	;
Et	Vvc	et
si	Cs	si
Genest	Nc	genêt
persiste	Vvc	persister
en	S	en
son	Ds	son
aveuglement	Nc	aveuglement
,	Fw	,
C'	Vvc	c'
est	Vuc	être
lui	Pp	il
qui	Pr	qui
veut	Vvc	vouloir
sa	Ds	son
mort	Nc	mort
,	Fw	,
et	Cc	et
rend	Vvc	rendre
son	Ds	son
jugement	Nc	jugement
;	Fw	;
Voyez-le	Vvc	voyez-le
toutefois	Rg	toutefois
,	Fw	,
et	Cc	et
si	Cs	si
ce	Dd	ce
bon	Ag	bon
office	Nc	office
Le	Ag	le
peut	Vvc	pouvoir
rendre	Vvn	rendre
lui-même	Pp	lui-même
à	S	à
lui-même	Pp	lui-même
propice	Ag	propice
,	Fw	,
Croyez	Vvc	croire
qu'	Cs	que
avec	S	avec
plaisir	Nc	plaisir
je	Pp	je
verrai	Vvc	voir
refleurir	Vvn	refleurir
,	Fw	,
Les	Vvc	les
membres	Nc	membre
ralliés	Vvc	raller|râler
d'	S	de
un	Dn	un
corps	Nc	corps
prêt	Ag	prêt
à	S	à
périr	Vvn	périr
.	Fs	.
Par	S	par
quelle	Dt	quel
divine	Ag	divin
aventure	Nc	aventure
,	Fw	,
Sensible	Ag	sensible
et	Cc	et
sainte	Ag	saint
volupté	Nc	volupté
,	Fw	,
Essai	Vvc	essai
de	S	de
la	Da	le
gloire	Nc	gloire
future	Ag	futur
,	Fw	,
Incroyable	Ag	incroyable
félicité	Nc	félicité
;	Fw	;
Par	Nc	par
quelles	Dt	quel
bontés	Nc	bonté
souveraines	Ag	souverain
,	Fw	,
Pour	Nc	pour
confirmer	Vvn	confirmer
nos	Ds	notre
saints	Ag	saint
propos	Nc	propos
,	Fw	,
Et	Vvc	et
nous	Pp	nous
conserver	Vvn	conserver
le	Da	le
repos	Nc	repos
,	Fw	,
Sous	Vvc	sous
le	Da	le
lourd	Ag	lourd
fardeau	Nc	fardeau
de	S	de
nos	Ds	notre
chaînes	Nc	chaîne
,	Fw	,
Descends	Vvc	descendre
-tu	Vvn	-tu
des	Dn	un
célestes	Ag	céleste
plaines	Nc	plaine
,	Fw	,
Dedans	Ga	dedans
l'	Da	le
horreur	Nc	horreur
de	S	de
nos	Ds	notre
cachots	Nc	cachot
?	Fs	?
Ô	Vvc	ô
fausse	Ag	faux
volupté	Nc	volupté
du	S+Da	de+le
monde	Nc	monde
,	Fw	,
Vaine	Ag	vain
promesse	Nc	promesse
d'	S	de
un	Dn	un
trompeur	Nc	trompeur
!	Fs	!
Ta	Ds	ton
bonace	Nc	bonace
la	Da	le
plus	Rg	plus
profonde	Ag	profond
,	Fw	,
N'	Vvc	n'
est	Vuc	être
jamais	Rg	jamais
sans	S	sans
quelque	Di	quelque
vapeur	Nc	vapeur
;	Fw	;
Et	Vvc	et
mon	Ds	mon
Dieu	Nc	dieu
,	Fw	,
dans	S	dans
la	Da	le
peine	Nc	peine
même	Ag	même
,	Fw	,
Qu'	Vvc	qu'
il	Pp	il
veut	Vvc	vouloir
que	Cs	que
l'	Pp	il
on	Pp	on
souffre	Vvc	souffrir
pour	S	pour
lui	Pp	il
,	Fw	,
Quand	Nc	quand
il	Pp	il
daigne	Vvc	daigner
être	Vun	être
notre	Ds	notre
appui	Nc	appui
,	Fw	,
Et	Vvc	et
qu'	Cs	que
il	Pp	il
reconnaît	Vvc	reconnaître
que	Cs	que
l'	Pp	il
on	Pp	on
l'	Pp	il
aime	Vvc	aimer
,	Fw	,
Influe	Vvc	influer
une	Dn	un
douceur	Nc	douceur
extrême	Ag	extrême
,	Fw	,
Sans	Vvc	sans
mélange	Nc	mélange
d'	S	de
aucun	Di	aucun
ennui	Nc	ennui
.	Fs	.
Pour	S	pour
lui	Pp	il
la	Da	le
mort	Nc	mort
est	Vuc	être
salutaire	Ag	salutaire
;	Fw	;
Et	Vvc	et
par	S	par
cet	Dd	ce
acte	Nc	acte
de	S	de
valeur	Nc	valeur
,	Fw	,
On	Vvc	on
fait	Ge	faire
un	Dn	un
bonheur	Nc	bonheur
volontaire	Ag	volontaire
,	Fw	,
D'	Nc	d'
un	Dn	un
inévitable	Ag	inévitable
malheur	Nc	malheur
;	Fw	;
Nos	Nc	nô
jours	Nc	jour
n'	Rp	ne
ont	Vuc	avoir
pas	Rg	pas
une	Dn	un
heure	Nc	heure
sûre	Ag	sûr
,	Fw	,
Chaque	Vvc	chaque
instant	Nc	instant
use	Vvc	user
leur	Ds	leur
flambeau	Nc	flambeau
,	Fw	,
Chaque	Vvc	chaque
pas	Rg	pas
nous	Pp	nous
mène	Vvc	mener
au	S+Da	à+le
tombeau	Nc	tombeau
;	Fw	;
Et	Vvc	et
l'	Da	le
art	Nc	art
imitant	Ga	imiter
la	Da	le
nature	Nc	nature
,	Fw	,
Bâtit	Vvc	bâtit
d'	S	de
une	Dn	un
même	Ag	même
figure	Nc	figure|figuré
,	Fw	,
Notre	Nc	notre
bière	Nc	bière
,	Fw	,
et	Cc	et
notre	Ds	notre
berceau	Nc	berceau
.	Fs	.
Mourrons	Vvc	mourir
donc	Rg	donc
,	Fw	,
la	Da	le
cause	Nc	cause
y	Pp	y
convie	Vvc	convier
;	Fw	;
Il	Vvc	il
doit	Vvc	devoir
être	Vun	être
doux	Ag	doux
de	S	de
mourir	Vvn	mourir
,	Fw	,
Quand	Nc	quand
se	Pp	il
dépouiller	Vvn	dépouiller
de	S	de
la	Da	le
vie	Nc	vie
,	Fw	,
Est	Vvc	est
travailler	Vvn	travailler
,	Fw	,
pour	S	pour
l'	Pp	il
